# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8778355388379817,4.951553298256383,-0.011958025667336931,0,2.25,-0.025881481376212684,0.0,0.0,-0.008060107996656426
 0.11826333409970523,1.8935700317117214,4.951550014358791,-0.011958025667336931,0.26609250172433674,2.25,-0.025881481376212684,-0.0009532152448882848,-0.4747362133170927,-0.05790685121255668
 0.16764428214040467,1.9094532164647218,4.951540200723217,-0.03540094995018669,0.37719963481591046,2.2499999999999996,-0.024948444895506527,-0.0038127104558160598,-0.5977863029707463,-0.1248895672610529
 0.205800580813164,1.9254836411363536,4.9515239144354695,-0.05821026266882308,0.463051306829619,2.250000000000001,-0.024060119346500458,-0.008578034085340459,-0.6854591575700606,-0.20596684020129882
 0.23818637428244085,1.9416598537659868,4.951501212581352,-0.08040940137751157,0.535919342135492,2.2500000000000013,-0.023213804440499714,-0.015248433633619274,-0.7524355141365311,-0.29853451282292454
 0.266908085727257,1.9579804023929923,4.951472152246673,-0.10202063709537289,0.6005431928863283,2.2500000000000004,-0.022406994581289683,-0.023822855767238076,-0.805229920434583,-0.40088686030914084
 0.293042867770817,1.9744438350567404,4.951436790517238,-0.1230651455608839,0.6593464524843383,2.25,-0.021637361452146914,-0.03429994648554456,-0.8475179611248048,-0.5117915500874
 0.3172287005513718,1.9910486997966015,4.951395184478852,-0.14356307324716516,0.7137645762405866,2.2500000000000004,-0.020902740558842326,-0.046678051334459354,-0.8816502523188162,-0.6303021703178623
 0.33988000179324607,2.007793544651946,4.951347391217322,-0.16353359870241313,0.7647300040348037,2.2500000000000004,-0.02020111723277938,-0.06095521566773639,-0.9092523041698043,-0.7556612472889994
 0.3612837317660478,2.0246769176621453,4.951293467818455,-0.18299498949801138,0.8128883964736077,2.250000000000004,-0.01953061515450549,-0.07712918495562067,-0.9315099249784929,-0.8872442260914143
 0.3816481586666784,2.0416973668665683,4.951233471368056,-0.2019646552724478,0.8587083570000266,2.250000000000001,-0.018889484517492127,-0.09519740514086586,-0.9493222987790754,-1.024524458121622
 0.40112999508645736,2.058853440304587,4.951167458951931,-0.22045919700691027,0.9025424889445293,2.2500000000000013,-0.018276093284827374,-0.11515702304205398,-0.9633914558147344,-1.1670499865964472
 0.41985058461818725,2.0761436860155706,4.951095487655887,-0.23849445300959363,0.9446638153909216,2.2500000000000036,-0.01768891626304293,-0.13700488680413694,-0.9742780615797721,-1.314427431721419
 0.43790609610499504,2.09356665203889,4.95101761456573,-0.25608554174179204,0.985288716236239,2.249999999999996,-0.01712652965054237,-0.16073754639615828,-0.9824380280829083,-1.4663103863234612
 0.45537423109114605,2.111120886413916,4.950933896767266,-0.2732469018318723,1.0245920199550789,2.250000000000002,-0.016587600966658362,-0.18635125415605175,-0.9882475375482072,-1.6223908052540328
 0.4723187990320871,2.1288049371800195,4.9508443913463,-0.28999232937432556,1.0627172978221961,2.2499999999999925,-0.016070882635035786,-0.2138419653824368,-0.9920207436416487,-1.7823924549218433
 0.4887929338444352,2.1466173523765693,4.950749155388642,-0.3063350128417239,1.0997841011499792,2.2499999999999933,-0.015575205678228956,-0.24320533897333124,-0.9940226459357729,-1.9460658240751927
 0.5048414141948684,2.164556680042938,4.9506482459800925,-0.32228756574290973,1.1358931819384537,2.249999999999987,-0.015099475689076283,-0.2744367381116516,-0.9944786766860947,-2.1131840981242025
 0.5205023747875375,2.1826214682184943,4.950541720206462,-0.3378620571087404,1.171130343271959,2.2499999999999982,-0.014642664831357243,-0.3075312309974297,-0.9935820035258323,-2.28353992490666
 0.5358085931058327,2.20081026494261,4.950429635153554,-0.35307004017183596,1.2055693344881235,2.250000000000007,-0.014203808871049828,-0.3424835916265946,-0.9914991684862806,-2.4569427809192206
 0.5507884734984306,2.219121618254654,4.950312047907177,-0.3679225791251207,1.239274065371469,2.2500000000000058,-0.013782000471002007,-0.3792883006162214,-0.9883745332207825,-2.633216800897615
 0.5654668112056451,2.2375540761939985,4.9501890155531365,-0.38243027430494586,1.2723003252127016,2.2500000000000093,-0.01337638927408666,-0.41793954607610756,-0.9843338140754858,-2.812198970352039
 0.5798653935525268,2.2561061868000127,4.950060595177238,-0.39660328578373183,1.3046971354931851,2.2499999999999867,-0.012986173328566606,-0.4584312245265371,-0.9794869359912934,-2.9937376062308467
 0.5940034787499257,2.274776498112068,4.949926843865287,-0.41045135553451595,1.3365078271873325,2.249999999999992,-0.0126105986114898,-0.5007569418620859,-0.9739303583724249,-3.1776910690695845
 0.607898181393935,2.2935635581695344,4.94978781870309,-0.42398382826007425,1.3677709081363534,2.2499999999999822,-0.012248954702341538,-0.544910014361332,-0.967748989937923,-3.363926663120665
 0.6215647859263626,2.3124659150117823,4.949643576776455,-0.43720967099221203,1.3985207683343153,2.249999999999998,-0.011900571770745324,-0.5908834697422907,-0.9610177766918903,-3.552319690637207
 0.63501700382417,2.3314821166781825,4.949494175171186,-0.45013749152793786,1.4287882586043823,2.2500000000000147,-0.011564818958276754,-0.6386700482634144,-0.9538030271299256,-3.7427526336872305
 0.6482671863663502,2.350610711208105,4.94933967097309,-0.4627755557466934,1.4586011693242875,2.249999999999994,-0.011241099697068806,-0.6882622038699957,-0.9461635363312569,-3.935114442327035
